,humidity,lat
34,100,82.32989187054758
549,98,1.061755973310582
200,59,57.09403904144222
313,100,-25.0832172103382
17,86,77.14757617009116
432,100,-30.196584983508515
229,100,-3.4512901975207204
446,98,21.37694357083471
584,99,6.475563853384074
321,94,51.98165386577531
439,100,-13.75068281919634
566,72,45.11038277223298
466,73,67.86312361527965
32,0,-81.3218136426672
334,96,30.55267536498889
51,96,-63.040233692657964
107,100,-8.406911361056828
303,88,12.485775079635232
523,99,-0.16019250057750867
175,98,12.31593748659769
559,100,-40.56211328733028
578,63,-13.055644797509885
542,100,-49.806894029055776
341,100,-15.87373222104496
153,100,59.853514233102686
68,96,74.9479957187368
451,37,-20.007588753536453
422,96,35.98887137981761
117,51,29.96321485610152
309,100,-8.34601458800637
147,97,16.42786370975142
563,100,68.30312629654404
287,96,-9.913943476373221
356,100,-23.01332229964018
572,61,64.85729016273052
216,95,48.77629565316877
241,60,41.10661814608986
381,69,42.048417305806346
545,67,44.695836291032855
267,100,11.459610741588818
59,100,-19.055894850138216
5,27,31.943155470095377
450,55,12.034187650830146
602,90,14.584170364758736
185,70,70.76200524884828
449,70,35.5465884194563
83,100,10.728400995056065
494,93,55.38143886074366
23,100,-1.7960953605690548
412,97,47.37116618866032
421,57,-10.617469492526384
445,100,8.893438303414456
263,55,30.48726924134367
351,82,68.46421725951801
308,100,61.80975609477596
467,94,71.02469395887692
343,15,22.59320710952068
168,97,88.56166386182426
97,62,35.98643241647929
260,100,-12.518963415760922
606,78,37.24215742808157
366,95,-16.759089828331753
517,85,22.835138077046143
326,88,67.12101071417877
534,12,24.363554363372394
567,96,-41.52095720247277
190,98,57.61123312382944
75,82,39.59937347101564
557,67,8.473931564444001
172,76,57.56786042471256
520,98,7.110093937938969
118,0,-81.84639269226783
508,73,38.47663904464466
357,100,-44.07529258809555
388,100,57.77197028806222
477,32,54.13984639956547
86,100,-9.155075999511483
462,99,22.464606954298645
108,54,40.148104817896545
275,64,40.4058958929605
608,94,67.88721357966719
132,100,13.474796355541132
103,100,-0.17014460906182194
280,66,14.323355072750815
246,100,10.93035299714991
441,98,-44.253075690227625
414,99,-9.792375142421932
585,54,63.38589178883925
109,90,44.24945170900719
198,97,36.83700922070403
484,97,-7.450016835323537
470,67,64.1065661486208
294,100,37.19199883093432
256,62,21.24336651616298
2,92,60.600851418604286
459,84,67.01160409340534
217,39,-14.014536075969062
427,95,57.554350152620096
4,100,44.17329583277956
191,97,16.867466967319313
219,30,-5.531827462647172
339,100,-8.719415946451704
176,28,-9.403651596475768
586,100,-26.18520335760743
447,31,29.72822644937939
373,96,19.352021743947248
22,92,66.42212821671822
337,27,44.52597086210906
493,18,23.649895416417664
205,99,22.495516475010067
98,49,67.11273355584186
268,81,46.090424015992795
163,66,63.833172521437575
173,100,18.674158599423908
56,0,-88.48662556787231
489,22,40.397422737614704
435,99,22.28504255193083
599,100,16.623842688651692
15,98,85.52400166243805
138,67,3.287346845701052
61,16,19.949671233431413
104,72,66.31363243987278
276,92,68.21533865577985
448,99,-14.014771889836865
369,54,37.23457066294071
162,50,-16.696071338880813
141,100,34.126766333947685
37,96,54.248571289345044
544,62,42.973720316859534
597,100,9.878348973522023
589,94,49.20391450945002
306,84,37.50205347510793
336,96,36.16840472533434
253,100,2.052522183451828
529,82,68.67622935908287
375,100,5.6325086612519035
514,79,43.41858920418622
530,84,44.55022207784026
607,68,47.419224670870285
122,95,51.85843921160703
411,35,-8.093053344422316
431,97,51.18349511409875
550,100,4.8610397804691265
579,50,67.20912245748896
410,100,-28.247864824583225
320,100,30.575745169612745
297,89,11.191787642669539
49,34,50.797657624554546
148,92,77.74250768483941
540,100,-16.965090854466624
140,95,-46.197021742728275
409,88,23.40373999926712
160,0,-88.39316676988922
196,98,50.606940067477076
302,100,61.825288638368704
592,68,68.25008949015987
456,67,-0.1884921164098756
206,100,-11.919318201654546
170,100,11.89225335659367
562,69,31.1340713075944
594,60,47.01351621503477
9,95,77.13919396914648
568,68,-6.947666010280372
537,100,-2.4774867152896287
440,87,52.4422378871256
331,100,16.787521146592766
36,52,23.48752304165741
610,83,18.374713374059308
560,100,58.829212339360396
392,100,12.60920808624333
543,100,-32.56104152475923
571,35,-18.44031546064255
510,63,23.386640548401004
165,100,-25.733114777478804
286,45,-38.77748683938139
0,95,30.302189993885218
145,100,-0.7129568791378489
291,100,-23.25396225236237
496,100,-24.906356142208157
130,96,68.9467969365221
48,39,-38.09902163741256
324,47,-5.264550222741377
315,82,46.08554614551957
595,100,27.788275589842897
133,97,6.060287178873737
204,43,-10.049284209065119
33,89,-45.28694810206086
519,100,-11.740126149777115
38,68,39.156028272795965
142,89,-16.726531895248446
364,55,15.294413898203047
182,100,-17.085953767279292
262,88,-68.96227073763552
212,96,5.498164823892934
547,100,72.59340772632044
481,100,7.846513861682554
271,98,41.16294477492863
311,67,54.68343121647027
270,100,1.8315457230841898
499,100,-3.0996814741958474
232,74,65.87042683894572
245,69,44.35489858868755
322,69,55.42647666495904
612,14,19.720586749487552
504,100,5.10758001348495
120,82,0.4971018346176805
511,59,25.165942216465936
207,86,47.744349368725146
47,94,70.05641453344505
390,95,80.22968233427267
94,100,19.70836831942775
598,64,48.730398720230646
319,100,13.716558455303955
420,75,69.18150311789688
424,98,11.395062397649752
587,90,41.8574293555441
13,100,-16.712542909199186
179,100,-18.998503094103853
495,39,-25.68370545136395
189,70,-28.826383555394397
433,100,-20.164518783211093
417,98,22.001092561204477
503,99,58.29466516705072
486,95,58.79141710992357
528,96,-42.57766662101477
254,7,31.46067924923611
582,47,56.414558177780115
384,96,3.0357044648271057
283,97,-31.605012760422696
396,55,59.96434742483214
500,98,-33.6429048142694
402,59,53.69082896447344
416,67,-24.73198620338837
239,76,39.06001879853253
469,59,-4.803032588764552
197,97,-48.71068781694481
126,100,23.37083820517505
41,34,-9.616639485234373
490,100,-40.435723817656715
193,100,0.039620638533435226
74,100,81.06168328858966
213,98,73.03589354459703
99,98,-17.6561207739768
178,100,35.39437860031765
208,92,60.88349800170286
438,98,19.29032842861278
507,80,61.487989676487636
82,100,15.594972610460546
199,60,-12.913268784336633
551,100,56.15650240231534
314,100,41.63145848477964
407,38,43.34153065284193
257,100,-30.389652017566284
143,100,15.884782655615355
573,99,-8.323403377726438
292,76,23.931433218553977
298,81,40.78528801407372
181,99,59.209314183836206
329,100,-20.214845387174282
525,98,0.15237459355535066
546,100,-41.281014478167975
393,100,-18.221892745728727
330,100,2.8308373610579314
45,0,-78.5268738910061
8,0,-88.03108362750156
497,95,9.301052296958645
387,100,-3.970199728345676
397,90,25.003050162192462
169,94,48.53714016847322
231,53,31.083912573281342
43,100,0.4255573609716379
516,92,59.50020729459993
480,100,44.48870078987983
472,98,32.24065387963927
158,95,70.75383421889049
55,48,62.369399627338
453,33,40.2299403884449
228,100,38.417549736397795
273,28,30.21269781199112
214,81,65.65890082667147
111,89,-67.26771345522043
274,100,39.088824147859924
272,100,7.967361970083361
371,69,34.22334559324038
379,51,64.54997884174833
349,37,44.38714248858878
581,100,42.8323054434926
164,95,-29.8736715996168
146,100,85.24999608573015
443,100,-10.869071446722005
177,100,-33.47872017501772
92,85,29.275420805012057
35,100,19.645911985459293
154,100,22.990000173459865
96,100,-25.617256087110675
548,46,50.806629478188
604,99,36.854302989291426
210,100,3.211304836167216
116,98,-7.318879887497957
512,81,52.10758245869536
124,24,40.1349419212317
40,100,89.29089942417716
21,100,26.12455103070488
244,100,86.5709888676285
248,100,5.252680641729398
317,29,-17.15660525649359
342,80,-26.62105384720505
156,93,9.846275499238672
225,100,3.676244705072492
305,100,7.618245263403934
391,100,-24.81845344073417
202,83,39.53241462354916
76,99,84.30633719590298
475,55,27.101432325231738
128,100,-35.15249666496547
284,45,39.356310294936854
269,82,66.08856868961696
24,40,28.956155085995373
121,20,31.679833703739604
222,100,-10.740364659712741
157,100,81.50476015059752
29,98,86.20508386327974
344,100,21.178308111320746
281,100,-41.195871733056606
354,88,7.3383854514673885
77,96,20.59060030015155
243,96,-17.61583598776289
1,94,-33.202173792924235
187,61,64.74344268345516
89,38,16.39269132478671
226,100,35.690649647134656
289,84,51.94456598843306
300,99,57.67093896719294
42,42,60.060123170525905
295,100,84.85054790938645
249,100,59.28542098916867
227,100,63.19547877477786
161,37,62.94785234410978
455,81,-33.37103867408455
73,88,-70.62934372648006
359,100,6.429307952776385
69,45,48.275131675599965
91,96,81.43667678591245
242,69,41.71079702326779
558,99,63.33487354276028
6,100,-54.01752568161985
18,96,66.35494584192057
78,98,0.05530631633961036
476,100,7.0306290074722
521,68,39.589994231303
513,99,22.56636190886937
223,92,-56.450960063814115
593,78,28.04309919379357
576,100,45.9852750268204
64,70,28.710032751688328
296,100,-3.8641946631304336
565,100,-17.512646957048574
19,63,15.697419421341053
171,28,-25.64754306560809
66,0,-84.58083851122562
54,100,-2.4651477500443377
167,36,-8.811058105508494
159,96,59.04627787067005
541,100,23.65490154588039
119,100,24.468606001470327
488,100,16.039868025815665
522,90,46.22480358989142
134,100,81.64636708090649
62,100,-36.04273700506958
266,97,65.88544451294351
131,100,2.3058952934495665
588,100,-9.427350063643699
491,65,11.876338237328126
81,100,-32.64628486846654
531,82,58.80250730843528
487,93,42.109384111327984
332,77,35.2524355145311
278,100,18.46828668597145
224,54,47.38920011988248
533,100,14.501489303094218
301,100,-4.778445721357342
442,75,46.40263169742377
419,90,15.901325118453554
325,100,56.2860343510551
596,93,52.32827566205631
328,71,51.32949656863392
561,63,-6.699981423250434
554,99,26.000763622919763
112,55,65.29616973883864
553,99,-31.425588657344584
538,95,72.9380491516014
555,77,63.28714979352853
426,79,22.95021505241353
44,9,21.387022544893696
105,73,-29.093179659414478
394,100,-20.33666375417036
346,99,68.4393846512911
174,100,8.941913599984064
600,99,24.32038229394556
28,77,57.86786358700397
65,100,75.43864680679988
259,100,-42.09676411975297
39,100,47.297195965378144
498,100,-39.84559174993663
524,72,51.38160288919366
123,35,25.167236141496744
114,100,-31.85122583812873
471,53,-27.317560282970124
382,26,16.018028071413493
401,61,54.00088879105525
363,64,52.008285179830075
25,100,-57.19125286132221
460,73,57.71432453008077
304,100,-0.7662407635396421
247,50,-30.553060361368647
614,71,69.07263698880999
350,74,39.52898645746709
85,100,64.60105002737708
428,85,63.20865457876192
400,74,12.057146503505322
285,27,37.812218471138074
482,42,-23.50982193789267
84,100,18.358127812174004
474,100,-8.642853900465724
235,18,34.53760185093686
188,86,-15.873904549658489
250,98,1.0175186560661444
155,100,-53.464990359742615
591,100,-4.150083381344359
113,70,-1.4012227155542405
265,90,7.195996922911718
209,100,0.6014644343784994
14,97,-11.424122787011454
389,43,9.92526149016723
237,70,-15.296607188831501
183,100,-24.478553019578317
288,100,-32.744635514837945
218,93,63.209277668605175
404,100,-18.27500403014323
370,100,21.52988500794187
536,41,43.6510561628069
80,100,-32.25115026622869
192,75,22.019955540590853
88,94,50.92386150693465
458,99,28.855165011971692
452,81,57.201901993828706
137,52,47.56596118712037
144,100,29.539875371343303
478,98,12.819181476635618
58,99,9.963354016871703
461,57,14.294005525908847
505,40,-14.478272184218907
101,100,77.18704971757029
601,100,-20.80545331064107
312,100,-3.3195514514836764
261,38,55.35954754329626
323,100,23.62762303735262
90,94,60.63613516352694
473,100,-12.812022362270836
613,80,8.918254985997663
150,0,-81.34531577144568
335,52,46.942712603247635
79,77,68.79574644894123
106,100,-7.2000256115520225
277,43,35.68332267403646
220,90,54.585385529649926
16,56,0.8673816274546198
251,59,64.5078697246638
201,85,2.167079963570032
526,100,-20.18067269916681
365,100,17.884569763883547
234,98,-7.375797372591762
184,100,20.21272803394791
233,100,-43.9913160611889
327,33,67.48584270776541
194,100,-44.093525816626645
502,87,32.37361022682343
348,95,14.241508896039916
434,44,55.88458434937022
368,100,-33.690105054440004
575,100,59.60975808747904
110,100,-7.304850097638209
353,46,-4.531144294187925
149,15,28.310361838597807
413,76,5.989915047957567
539,93,63.83824824746597
203,92,33.9098627772853
345,26,43.99362755816534
465,78,17.17101871383359
408,100,37.05027192878677
355,95,5.779732218064495
10,94,36.49087336438205
20,93,23.83314124585556
139,68,66.14711047697935
532,97,42.41847622443703
52,99,86.52375113152397
